fps_atual,num_pessoas_detectadas,resolucao,canais,tempo_atual
1.6600546345571885,5,512,32,2024-03-16 23:43:59
4.192270748686886,5,512,32,2024-03-16 23:43:59
4.665864234749159,6,512,32,2024-03-16 23:43:59
3.9765105188808936,5,512,32,2024-03-16 23:43:59
4.072420526075098,6,512,32,2024-03-16 23:44:00
3.9466887479534036,5,512,32,2024-03-16 23:44:00
4.7818171868444574,5,512,32,2024-03-16 23:44:00
4.656726227881044,5,512,32,2024-03-16 23:44:00
4.533304511359461,6,512,32,2024-03-16 23:44:01
4.353706246814624,5,512,32,2024-03-16 23:44:01
4.484294346820167,5,512,32,2024-03-16 23:44:01
4.4693333674316404,5,512,32,2024-03-16 23:44:01
4.114091556914832,7,512,32,2024-03-16 23:44:01
4.4386095058092465,6,512,32,2024-03-16 23:44:02
4.31862868251216,7,512,32,2024-03-16 23:44:02
4.188799916909181,7,512,32,2024-03-16 23:44:02
4.427505122296478,5,512,32,2024-03-16 23:44:02
4.447377573438971,5,512,32,2024-03-16 23:44:03
4.1985613411999765,6,512,32,2024-03-16 23:44:03
3.9179476449180597,5,512,32,2024-03-16 23:44:03
3.5025678625529646,5,512,32,2024-03-16 23:44:03
4.133410595112799,6,512,32,2024-03-16 23:44:04
4.066474377929778,6,512,32,2024-03-16 23:44:04
4.331978612276768,7,512,32,2024-03-16 23:44:04
3.5747223910210573,6,512,32,2024-03-16 23:44:04
4.244976281876763,5,512,32,2024-03-16 23:44:05
4.387388584202153,5,512,32,2024-03-16 23:44:05
4.409449878470324,6,512,32,2024-03-16 23:44:05
4.248695803678695,7,512,32,2024-03-16 23:44:05
3.5181329244520194,5,512,32,2024-03-16 23:44:06
4.273099963323689,5,512,32,2024-03-16 23:44:06
4.4229856258113225,5,512,32,2024-03-16 23:44:06
4.7567033014390425,6,512,32,2024-03-16 23:44:06
4.576331584328128,5,512,32,2024-03-16 23:44:07
4.538607287431869,5,512,32,2024-03-16 23:44:07
5.002610853948425,5,512,32,2024-03-16 23:44:07
3.78815335038511,5,512,32,2024-03-16 23:44:07
4.565845077322001,5,512,32,2024-03-16 23:44:07
4.105907908634997,5,512,32,2024-03-16 23:44:08
3.9533661028611284,5,512,32,2024-03-16 23:44:08
