fps_atual,num_pessoas_detectadas,resolucao,canais,tempo_atual
1.780426575249195,4,640,32,2024-03-16 23:41:50
5.251696285138676,4,640,32,2024-03-16 23:41:50
5.10779167955497,4,640,32,2024-03-16 23:41:50
5.786340315342348,5,640,32,2024-03-16 23:41:51
5.293986825314883,5,640,32,2024-03-16 23:41:51
4.833456062413211,4,640,32,2024-03-16 23:41:51
5.121225293160961,4,640,32,2024-03-16 23:41:51
4.698547409432933,4,640,32,2024-03-16 23:41:51
5.046975343329486,5,640,32,2024-03-16 23:41:52
4.997484757823047,4,640,32,2024-03-16 23:41:52
5.454919541216513,5,640,32,2024-03-16 23:41:52
5.546678515650312,4,640,32,2024-03-16 23:41:52
4.370837766553322,4,640,32,2024-03-16 23:41:52
5.543123272029477,5,640,32,2024-03-16 23:41:53
5.009272573533275,4,640,32,2024-03-16 23:41:53
4.659193686883554,5,640,32,2024-03-16 23:41:53
4.835930411001232,6,640,32,2024-03-16 23:41:53
4.521039526586399,5,640,32,2024-03-16 23:41:53
4.85610349674315,5,640,32,2024-03-16 23:41:54
5.060853742998694,5,640,32,2024-03-16 23:41:54
4.81140520933946,5,640,32,2024-03-16 23:41:54
4.975703387005505,5,640,32,2024-03-16 23:41:54
5.419592590917607,6,640,32,2024-03-16 23:41:54
4.753285637708933,6,640,32,2024-03-16 23:41:55
5.206305702440356,7,640,32,2024-03-16 23:41:55
5.684078145666645,5,640,32,2024-03-16 23:41:55
4.888506083382965,7,640,32,2024-03-16 23:41:55
5.166035226013056,5,640,32,2024-03-16 23:41:55
5.351604535647345,4,640,32,2024-03-16 23:41:56
5.053110437518975,4,640,32,2024-03-16 23:41:56
5.071985779153642,4,640,32,2024-03-16 23:41:56
5.517028018525558,4,640,32,2024-03-16 23:41:56
4.670914804858112,4,640,32,2024-03-16 23:41:56
5.438263201159664,5,640,32,2024-03-16 23:41:57
6.63222293026867,4,640,32,2024-03-16 23:41:57
5.683230941418455,4,640,32,2024-03-16 23:41:57
6.155096003146297,4,640,32,2024-03-16 23:41:57
6.042586050907331,4,640,32,2024-03-16 23:41:57
5.632796237554087,4,640,32,2024-03-16 23:41:57
5.677907042856021,5,640,32,2024-03-16 23:41:58
5.499356225989589,4,640,32,2024-03-16 23:41:58
5.361537527403345,5,640,32,2024-03-16 23:41:58
5.305276685416353,4,640,32,2024-03-16 23:41:58
5.697544012171267,4,640,32,2024-03-16 23:41:58
5.747873824539477,4,640,32,2024-03-16 23:41:59
5.250434062006712,5,640,32,2024-03-16 23:41:59
5.752895784670207,4,640,32,2024-03-16 23:41:59
5.259922147758738,4,640,32,2024-03-16 23:41:59
4.817008296505913,4,640,32,2024-03-16 23:41:59
5.637634193254415,4,640,32,2024-03-16 23:42:00
5.181159438192531,4,640,32,2024-03-16 23:42:00
5.747377623575421,4,640,32,2024-03-16 23:42:00
6.193313655163452,4,640,32,2024-03-16 23:42:00
4.773843872246902,4,640,32,2024-03-16 23:42:00
5.728530493950925,4,640,32,2024-03-16 23:42:00
4.504347228427093,4,640,32,2024-03-16 23:42:01
5.411914380791032,4,640,32,2024-03-16 23:42:01
5.432079322813598,4,640,32,2024-03-16 23:42:01
5.497366855141645,4,640,32,2024-03-16 23:42:01
5.44378986988546,4,640,32,2024-03-16 23:42:01
5.660199428623095,4,640,32,2024-03-16 23:42:02
6.067744334144429,5,640,32,2024-03-16 23:42:02
5.434014673626469,4,640,32,2024-03-16 23:42:02
5.388511252230598,4,640,32,2024-03-16 23:42:02
5.627166214764002,4,640,32,2024-03-16 23:42:02
5.487010829323684,4,640,32,2024-03-16 23:42:03
6.05106823765673,5,640,32,2024-03-16 23:42:03
5.69971190955047,4,640,32,2024-03-16 23:42:03
6.063910779938209,4,640,32,2024-03-16 23:42:03
5.829251716752811,4,640,32,2024-03-16 23:42:03
5.783906625774993,4,640,32,2024-03-16 23:42:03
6.301936119767173,4,640,32,2024-03-16 23:42:04
5.661796308895152,4,640,32,2024-03-16 23:42:04
5.642161676437275,4,640,32,2024-03-16 23:42:04
5.992907335278434,4,640,32,2024-03-16 23:42:04
5.6241781906584265,4,640,32,2024-03-16 23:42:04
5.961535673523689,4,640,32,2024-03-16 23:42:04
5.978829009901272,4,640,32,2024-03-16 23:42:05
6.182395453011157,4,640,32,2024-03-16 23:42:05
5.782463338337821,4,640,32,2024-03-16 23:42:05
6.718637019665887,4,640,32,2024-03-16 23:42:05
5.167887492622679,4,640,32,2024-03-16 23:42:05
5.779547067374934,4,640,32,2024-03-16 23:42:05
5.22817575568713,4,640,32,2024-03-16 23:42:06
5.753227211313586,4,640,32,2024-03-16 23:42:06
5.788839969636326,4,640,32,2024-03-16 23:42:06
5.3959287747858315,4,640,32,2024-03-16 23:42:06
5.316116145043151,4,640,32,2024-03-16 23:42:06
5.442242965431157,6,640,32,2024-03-16 23:42:07
5.769442602746133,5,640,32,2024-03-16 23:42:07
5.68142954671059,5,640,32,2024-03-16 23:42:07
5.612077535788785,5,640,32,2024-03-16 23:42:07
5.2941338331724,4,640,32,2024-03-16 23:42:07
5.360461728003763,5,640,32,2024-03-16 23:42:07
5.789806868582014,4,640,32,2024-03-16 23:42:08
5.425811225466607,4,640,32,2024-03-16 23:42:08
5.979383030560502,4,640,32,2024-03-16 23:42:08
6.347369982172961,4,640,32,2024-03-16 23:42:08
5.686798607825086,4,640,32,2024-03-16 23:42:08
5.564737458688733,4,640,32,2024-03-16 23:42:09
5.491328284051558,4,640,32,2024-03-16 23:42:09
6.166380226672293,4,640,32,2024-03-16 23:42:09
6.5182284260567265,4,640,32,2024-03-16 23:42:09
5.275316602962466,4,640,32,2024-03-16 23:42:09
5.5623906732604205,4,640,32,2024-03-16 23:42:09
5.366380540156015,4,640,32,2024-03-16 23:42:10
5.445677011924052,4,640,32,2024-03-16 23:42:10
5.8553005195958265,5,640,32,2024-03-16 23:42:10
5.581205713867506,4,640,32,2024-03-16 23:42:10
5.238126400291735,4,640,32,2024-03-16 23:42:10
5.629250655289085,4,640,32,2024-03-16 23:42:11
5.763053180029459,4,640,32,2024-03-16 23:42:11
5.017692244195798,4,640,32,2024-03-16 23:42:11
4.958064012785535,5,640,32,2024-03-16 23:42:11
5.843822145561093,5,640,32,2024-03-16 23:42:11
5.133152449941929,4,640,32,2024-03-16 23:42:11
5.426218352588069,4,640,32,2024-03-16 23:42:12
5.6688670115856,5,640,32,2024-03-16 23:42:12
4.75379204743927,5,640,32,2024-03-16 23:42:12
5.692602731545509,5,640,32,2024-03-16 23:42:12
5.455685846031777,4,640,32,2024-03-16 23:42:12
5.543189204119689,4,640,32,2024-03-16 23:42:13
5.240953949423587,4,640,32,2024-03-16 23:42:13
5.352014260795445,4,640,32,2024-03-16 23:42:13
5.704029385725729,4,640,32,2024-03-16 23:42:13
5.824702224308384,4,640,32,2024-03-16 23:42:13
5.576034097223884,4,640,32,2024-03-16 23:42:14
5.933939134137766,4,640,32,2024-03-16 23:42:14
5.008608593786384,4,640,32,2024-03-16 23:42:14
5.594135786003137,4,640,32,2024-03-16 23:42:14
5.493752193936092,4,640,32,2024-03-16 23:42:14
4.9611135556091766,4,640,32,2024-03-16 23:42:14
6.020511893022368,4,640,32,2024-03-16 23:42:15
5.159235888163155,4,640,32,2024-03-16 23:42:15
5.071617806206659,4,640,32,2024-03-16 23:42:15
5.8039395847315145,4,640,32,2024-03-16 23:42:15
5.3078413432395735,4,640,32,2024-03-16 23:42:15
5.949198604294914,5,640,32,2024-03-16 23:42:16
5.263129892260472,4,640,32,2024-03-16 23:42:16
5.327642796898657,4,640,32,2024-03-16 23:42:16
5.33253999432966,4,640,32,2024-03-16 23:42:16
5.190995995029678,4,640,32,2024-03-16 23:42:16
5.4121867314258285,4,640,32,2024-03-16 23:42:17
5.904036102942936,4,640,32,2024-03-16 23:42:17
5.745732109930875,4,640,32,2024-03-16 23:42:17
5.301541557331877,4,640,32,2024-03-16 23:42:17
5.621344012308699,4,640,32,2024-03-16 23:42:17
5.982615442986698,4,640,32,2024-03-16 23:42:17
4.7993372497236635,4,640,32,2024-03-16 23:42:18
5.343947405302789,4,640,32,2024-03-16 23:42:18
5.114823987932134,4,640,32,2024-03-16 23:42:18
5.263149705302546,4,640,32,2024-03-16 23:42:18
5.599154180505569,4,640,32,2024-03-16 23:42:18
5.471442678594956,4,640,32,2024-03-16 23:42:19
5.323423395981195,4,640,32,2024-03-16 23:42:19
5.772324850713506,4,640,32,2024-03-16 23:42:19
5.060377485968544,4,640,32,2024-03-16 23:42:19
