fps_atual,num_pessoas_detectadas,resolucao,canais,tempo_atual
1.8289063113188624,3,512,32,2024-03-16 23:47:46
5.730949117943238,3,512,32,2024-03-16 23:47:47
5.764581864461056,3,512,32,2024-03-16 23:47:47
6.175141043308246,3,512,32,2024-03-16 23:47:47
6.392557493031032,3,512,32,2024-03-16 23:47:47
6.08300363155391,3,512,32,2024-03-16 23:47:47
7.426464911876879,3,512,32,2024-03-16 23:47:47
8.368523543495611,3,512,32,2024-03-16 23:47:48
7.382908239601486,3,512,32,2024-03-16 23:47:48
6.389421809900297,3,512,32,2024-03-16 23:47:48
7.517455219359719,3,512,32,2024-03-16 23:47:48
8.31726252208555,3,512,32,2024-03-16 23:47:48
7.42069682971319,3,512,32,2024-03-16 23:47:48
7.553031257990974,3,512,32,2024-03-16 23:47:48
7.3552794943918745,3,512,32,2024-03-16 23:47:49
6.918405352220938,4,512,32,2024-03-16 23:47:49
5.15280257007193,4,512,32,2024-03-16 23:47:49
6.759010555152687,3,512,32,2024-03-16 23:47:49
7.548314529902225,3,512,32,2024-03-16 23:47:49
6.918542295885629,3,512,32,2024-03-16 23:47:49
7.220739960300859,3,512,32,2024-03-16 23:47:49
6.716754156431058,3,512,32,2024-03-16 23:47:50
7.463864983948692,3,512,32,2024-03-16 23:47:50
5.8748772654246375,3,512,32,2024-03-16 23:47:50
6.8445578775249105,3,512,32,2024-03-16 23:47:50
7.235088845074407,3,512,32,2024-03-16 23:47:50
6.774523564556014,3,512,32,2024-03-16 23:47:50
6.023797589793893,3,512,32,2024-03-16 23:47:51
6.7395700099624,4,512,32,2024-03-16 23:47:51
6.229639289331959,4,512,32,2024-03-16 23:47:51
6.492730650154798,3,512,32,2024-03-16 23:47:51
7.689635511294365,3,512,32,2024-03-16 23:47:51
7.355137613874494,3,512,32,2024-03-16 23:47:51
7.46109005135576,3,512,32,2024-03-16 23:47:51
6.332621204137496,3,512,32,2024-03-16 23:47:52
6.489084307115352,4,512,32,2024-03-16 23:47:52
5.205045823172813,5,512,32,2024-03-16 23:47:52
5.991563278978909,5,512,32,2024-03-16 23:47:52
5.54167316275272,5,512,32,2024-03-16 23:47:52
5.847985700382866,4,512,32,2024-03-16 23:47:52
6.871852677108592,3,512,32,2024-03-16 23:47:53
6.492630145044195,3,512,32,2024-03-16 23:47:53
6.514786125784972,3,512,32,2024-03-16 23:47:53
7.439175755081916,3,512,32,2024-03-16 23:47:53
8.335345144526476,3,512,32,2024-03-16 23:47:53
8.126637706880985,3,512,32,2024-03-16 23:47:53
8.132467794349179,3,512,32,2024-03-16 23:47:53
7.539007130441973,3,512,32,2024-03-16 23:47:54
8.818769961165742,3,512,32,2024-03-16 23:47:54
8.266821190225597,3,512,32,2024-03-16 23:47:54
7.328176841913994,3,512,32,2024-03-16 23:47:54
7.908782184845428,3,512,32,2024-03-16 23:47:54
7.685394411360513,3,512,32,2024-03-16 23:47:54
8.20745309528096,3,512,32,2024-03-16 23:47:54
7.457574561450299,3,512,32,2024-03-16 23:47:54
8.154365691155856,3,512,32,2024-03-16 23:47:55
6.8846211927225935,3,512,32,2024-03-16 23:47:55
7.2199941817330515,3,512,32,2024-03-16 23:47:55
7.611932118246806,3,512,32,2024-03-16 23:47:55
6.58179889463922,3,512,32,2024-03-16 23:47:55
6.940971268381318,3,512,32,2024-03-16 23:47:55
7.403380879339286,3,512,32,2024-03-16 23:47:55
6.806051332146606,3,512,32,2024-03-16 23:47:56
6.9223903456653195,3,512,32,2024-03-16 23:47:56
7.24682693537073,3,512,32,2024-03-16 23:47:56
6.3291906345632665,3,512,32,2024-03-16 23:47:56
7.456885118245466,3,512,32,2024-03-16 23:47:56
7.605831077197036,3,512,32,2024-03-16 23:47:56
6.4963509076265415,3,512,32,2024-03-16 23:47:57
7.312729922833102,3,512,32,2024-03-16 23:47:57
6.926791727427215,3,512,32,2024-03-16 23:47:57
6.043317388046798,3,512,32,2024-03-16 23:47:57
6.349599280612569,3,512,32,2024-03-16 23:47:57
7.4153571984215665,3,512,32,2024-03-16 23:47:57
6.554972447356165,3,512,32,2024-03-16 23:47:57
7.226612129283922,4,512,32,2024-03-16 23:47:58
6.722470561271183,3,512,32,2024-03-16 23:47:58
7.011025601593999,3,512,32,2024-03-16 23:47:58
7.030392426365581,3,512,32,2024-03-16 23:47:58
7.264574860919628,3,512,32,2024-03-16 23:47:58
7.509514226579677,3,512,32,2024-03-16 23:47:58
7.325284371239602,3,512,32,2024-03-16 23:47:58
7.525575052929989,3,512,32,2024-03-16 23:47:59
8.197651896717854,3,512,32,2024-03-16 23:47:59
8.044650905868679,3,512,32,2024-03-16 23:47:59
8.033710792050382,3,512,32,2024-03-16 23:47:59
8.252426458580505,3,512,32,2024-03-16 23:47:59
7.7235628934929,3,512,32,2024-03-16 23:47:59
7.6661219983842726,3,512,32,2024-03-16 23:47:59
7.1722147267693686,3,512,32,2024-03-16 23:47:59
7.95350363039558,3,512,32,2024-03-16 23:48:00
7.8790834325818,3,512,32,2024-03-16 23:48:00
8.983321874752356,3,512,32,2024-03-16 23:48:00
8.460966182795264,3,512,32,2024-03-16 23:48:00
7.699092659592238,3,512,32,2024-03-16 23:48:00
6.7168617201862775,3,512,32,2024-03-16 23:48:00
7.539454336939211,3,512,32,2024-03-16 23:48:00
7.4390438133953385,3,512,32,2024-03-16 23:48:01
7.222480709590877,3,512,32,2024-03-16 23:48:01
9.081803930399536,3,512,32,2024-03-16 23:48:01
8.695128676089507,3,512,32,2024-03-16 23:48:01
8.017708791313822,3,512,32,2024-03-16 23:48:01
7.817449504315687,3,512,32,2024-03-16 23:48:01
8.376863637180673,3,512,32,2024-03-16 23:48:01
7.296268978665961,3,512,32,2024-03-16 23:48:01
8.894132715270548,3,512,32,2024-03-16 23:48:02
8.339057321396263,3,512,32,2024-03-16 23:48:02
7.590428862531624,3,512,32,2024-03-16 23:48:02
8.630787908718645,3,512,32,2024-03-16 23:48:02
9.009391083196578,3,512,32,2024-03-16 23:48:02
8.926691085235847,3,512,32,2024-03-16 23:48:02
9.137300095200542,3,512,32,2024-03-16 23:48:02
