fps_atual,num_pessoas_detectadas,resolucao,canais,tempo_atual
1.7528552879192558,4,640,48,2024-03-16 23:42:52
4.7596019200435755,4,640,48,2024-03-16 23:42:52
5.03174785980268,5,640,48,2024-03-16 23:42:52
4.286879155359999,5,640,48,2024-03-16 23:42:52
4.496148428606038,4,640,48,2024-03-16 23:42:53
4.755791803486875,4,640,48,2024-03-16 23:42:53
4.7773455875401645,5,640,48,2024-03-16 23:42:53
4.705985840429948,4,640,48,2024-03-16 23:42:53
5.362202409108691,4,640,48,2024-03-16 23:42:53
4.944095923125706,4,640,48,2024-03-16 23:42:54
5.295323560714426,4,640,48,2024-03-16 23:42:54
4.409728033912703,4,640,48,2024-03-16 23:42:54
4.347586870285662,4,640,48,2024-03-16 23:42:54
4.6334022659384555,4,640,48,2024-03-16 23:42:55
4.395692659180348,4,640,48,2024-03-16 23:42:55
4.470519519000995,5,640,48,2024-03-16 23:42:55
5.186073052303333,4,640,48,2024-03-16 23:42:55
4.58500111501244,4,640,48,2024-03-16 23:42:55
4.417116613326003,4,640,48,2024-03-16 23:42:56
5.109073368479521,4,640,48,2024-03-16 23:42:56
4.699058015828202,4,640,48,2024-03-16 23:42:56
4.8018097641170305,4,640,48,2024-03-16 23:42:56
4.979974686369821,4,640,48,2024-03-16 23:42:56
4.924521966190688,4,640,48,2024-03-16 23:42:57
4.788980434425182,4,640,48,2024-03-16 23:42:57
4.551995233449205,5,640,48,2024-03-16 23:42:57
4.977439379680845,4,640,48,2024-03-16 23:42:57
4.962780659573663,4,640,48,2024-03-16 23:42:57
4.6945611284038415,4,640,48,2024-03-16 23:42:58
4.358202937885043,4,640,48,2024-03-16 23:42:58
5.1759804526495055,4,640,48,2024-03-16 23:42:58
4.880218744545931,4,640,48,2024-03-16 23:42:58
5.030528802907277,4,640,48,2024-03-16 23:42:59
4.444531100985483,4,640,48,2024-03-16 23:42:59
4.741935957979137,4,640,48,2024-03-16 23:42:59
5.0093024866744775,4,640,48,2024-03-16 23:42:59
5.093698310724652,4,640,48,2024-03-16 23:42:59
4.835194529271327,5,640,48,2024-03-16 23:43:00
4.619348756478624,4,640,48,2024-03-16 23:43:00
4.717630782728019,4,640,48,2024-03-16 23:43:00
5.2041093850811455,5,640,48,2024-03-16 23:43:00
4.619277533039647,4,640,48,2024-03-16 23:43:00
4.698736899887413,4,640,48,2024-03-16 23:43:01
5.15672403321506,4,640,48,2024-03-16 23:43:01
5.452536857855621,4,640,48,2024-03-16 23:43:01
4.683427073248895,4,640,48,2024-03-16 23:43:01
5.129191471044303,4,640,48,2024-03-16 23:43:01
5.294120468484343,4,640,48,2024-03-16 23:43:02
5.058131738260052,4,640,48,2024-03-16 23:43:02
5.747346121644712,4,640,48,2024-03-16 23:43:02
5.097226745740466,4,640,48,2024-03-16 23:43:02
5.021464787046183,4,640,48,2024-03-16 23:43:02
5.315900538775758,4,640,48,2024-03-16 23:43:03
5.307680139908103,4,640,48,2024-03-16 23:43:03
5.2483842429748195,4,640,48,2024-03-16 23:43:03
4.733416468702919,4,640,48,2024-03-16 23:43:03
5.008817937768097,4,640,48,2024-03-16 23:43:03
4.7963132586608115,4,640,48,2024-03-16 23:43:04
5.406626440019026,4,640,48,2024-03-16 23:43:04
5.233348763564359,5,640,48,2024-03-16 23:43:04
5.440449939554938,4,640,48,2024-03-16 23:43:04
5.136446409830304,4,640,48,2024-03-16 23:43:04
5.383275833744045,4,640,48,2024-03-16 23:43:05
4.985592278478756,4,640,48,2024-03-16 23:43:05
4.609672356719259,4,640,48,2024-03-16 23:43:05
5.213560240596943,4,640,48,2024-03-16 23:43:05
5.0539933172590885,4,640,48,2024-03-16 23:43:05
6.049296607504969,4,640,48,2024-03-16 23:43:06
5.431762760285477,4,640,48,2024-03-16 23:43:06
5.646301160005977,4,640,48,2024-03-16 23:43:06
4.310621819168441,4,640,48,2024-03-16 23:43:06
5.314189784166281,4,640,48,2024-03-16 23:43:06
4.985242659364065,4,640,48,2024-03-16 23:43:07
5.217483897130716,4,640,48,2024-03-16 23:43:07
5.7321317775427145,4,640,48,2024-03-16 23:43:07
4.619435245035898,4,640,48,2024-03-16 23:43:07
4.827086809911268,4,640,48,2024-03-16 23:43:07
5.384001406875978,4,640,48,2024-03-16 23:43:08
4.7741318630285425,4,640,48,2024-03-16 23:43:08
5.2446041636187894,4,640,48,2024-03-16 23:43:08
5.242670293188272,4,640,48,2024-03-16 23:43:08
4.741308795767722,4,640,48,2024-03-16 23:43:08
4.749523270297814,4,640,48,2024-03-16 23:43:09
4.842429259360601,5,640,48,2024-03-16 23:43:09
4.8018207587563335,4,640,48,2024-03-16 23:43:09
4.56020083434537,4,640,48,2024-03-16 23:43:09
4.649638443093726,4,640,48,2024-03-16 23:43:09
4.83762044155946,4,640,48,2024-03-16 23:43:10
5.224411704624154,4,640,48,2024-03-16 23:43:10
4.860019790920742,4,640,48,2024-03-16 23:43:10
4.999319407610477,4,640,48,2024-03-16 23:43:10
5.280217739691795,5,640,48,2024-03-16 23:43:10
5.194808540468638,4,640,48,2024-03-16 23:43:11
5.0258030037600925,4,640,48,2024-03-16 23:43:11
5.338866139607468,4,640,48,2024-03-16 23:43:11
4.7781564989154806,4,640,48,2024-03-16 23:43:11
5.375410752092849,4,640,48,2024-03-16 23:43:11
4.949919041527212,4,640,48,2024-03-16 23:43:12
5.404626973757116,4,640,48,2024-03-16 23:43:12
5.084152751110335,4,640,48,2024-03-16 23:43:12
5.387756779809066,5,640,48,2024-03-16 23:43:12
4.833266689636655,4,640,48,2024-03-16 23:43:12
5.376589048910082,4,640,48,2024-03-16 23:43:13
5.032152330951012,4,640,48,2024-03-16 23:43:13
4.945121850572409,5,640,48,2024-03-16 23:43:13
5.0619348127014705,5,640,48,2024-03-16 23:43:13
4.849119383279265,5,640,48,2024-03-16 23:43:13
5.151764603285148,5,640,48,2024-03-16 23:43:14
4.655547736440063,4,640,48,2024-03-16 23:43:14
5.266751551406751,4,640,48,2024-03-16 23:43:14
4.7151805668598765,4,640,48,2024-03-16 23:43:14
5.012625067523317,4,640,48,2024-03-16 23:43:14
4.847858324269782,5,640,48,2024-03-16 23:43:15
5.2466575934672965,5,640,48,2024-03-16 23:43:15
4.299552751811596,4,640,48,2024-03-16 23:43:15
4.777944220348193,5,640,48,2024-03-16 23:43:15
5.053865432812802,4,640,48,2024-03-16 23:43:16
5.187901216854385,5,640,48,2024-03-16 23:43:16
5.6378236405818605,5,640,48,2024-03-16 23:43:16
4.8304556929370355,4,640,48,2024-03-16 23:43:16
4.8811615251767755,4,640,48,2024-03-16 23:43:16
3.814293561095207,4,640,48,2024-03-16 23:43:17
5.45971248119048,4,640,48,2024-03-16 23:43:17
5.444835764551937,4,640,48,2024-03-16 23:43:17
5.194210249957894,4,640,48,2024-03-16 23:43:17
5.712668429102806,5,640,48,2024-03-16 23:43:17
5.306169334740113,4,640,48,2024-03-16 23:43:18
4.274136318150413,5,640,48,2024-03-16 23:43:18
4.108489969996679,4,640,48,2024-03-16 23:43:18
4.980163903671566,5,640,48,2024-03-16 23:43:18
5.064006625954715,5,640,48,2024-03-16 23:43:18
5.070213866767242,4,640,48,2024-03-16 23:43:19
5.051509863219267,4,640,48,2024-03-16 23:43:19
5.601060839350409,4,640,48,2024-03-16 23:43:19
4.889258283101808,4,640,48,2024-03-16 23:43:19
4.750771349737446,4,640,48,2024-03-16 23:43:19
5.392869173899068,4,640,48,2024-03-16 23:43:20
5.192223370739225,4,640,48,2024-03-16 23:43:20
5.143072254069464,5,640,48,2024-03-16 23:43:20
5.025971629403997,4,640,48,2024-03-16 23:43:20
4.900632105343101,4,640,48,2024-03-16 23:43:20
4.841328140690757,4,640,48,2024-03-16 23:43:21
4.444710076277311,4,640,48,2024-03-16 23:43:21
4.79882109039985,5,640,48,2024-03-16 23:43:21
5.3948807655699325,4,640,48,2024-03-16 23:43:21
3.8383085578742766,4,640,48,2024-03-16 23:43:22
5.028574716998324,4,640,48,2024-03-16 23:43:22
5.333950537998146,4,640,48,2024-03-16 23:43:22
5.023166689022171,4,640,48,2024-03-16 23:43:22
4.846413116951395,4,640,48,2024-03-16 23:43:22
5.257008209563201,4,640,48,2024-03-16 23:43:23
5.367163376947439,4,640,48,2024-03-16 23:43:23
4.844459536564125,4,640,48,2024-03-16 23:43:23
4.703985536909704,4,640,48,2024-03-16 23:43:23
5.709192576681939,4,640,48,2024-03-16 23:43:23
4.83322770296587,4,640,48,2024-03-16 23:43:24
4.8617492451157105,4,640,48,2024-03-16 23:43:24
4.975237119174033,5,640,48,2024-03-16 23:43:24
5.304974729205348,4,640,48,2024-03-16 23:43:24
3.718189796551571,4,640,48,2024-03-16 23:43:24
4.624604996504784,4,640,48,2024-03-16 23:43:25
4.963837854982177,4,640,48,2024-03-16 23:43:25
5.099085780976464,4,640,48,2024-03-16 23:43:25
4.880150605844121,6,640,48,2024-03-16 23:43:25
4.708537506721584,5,640,48,2024-03-16 23:43:25
5.26794885159754,4,640,48,2024-03-16 23:43:26
4.68560359359971,5,640,48,2024-03-16 23:43:26
5.7443392776681375,4,640,48,2024-03-16 23:43:26
5.71234165880153,4,640,48,2024-03-16 23:43:26
5.732108276241901,4,640,48,2024-03-16 23:43:26
4.8564071212879085,4,640,48,2024-03-16 23:43:27
5.0750235946083295,4,640,48,2024-03-16 23:43:27
5.056595038771652,4,640,48,2024-03-16 23:43:27
4.380931689993733,4,640,48,2024-03-16 23:43:27
5.0891124668151795,4,640,48,2024-03-16 23:43:27
5.023256928035144,4,640,48,2024-03-16 23:43:28
5.248121561409458,4,640,48,2024-03-16 23:43:28
4.953941369617084,4,640,48,2024-03-16 23:43:28
4.796763048617171,5,640,48,2024-03-16 23:43:28
4.830260992538628,4,640,48,2024-03-16 23:43:28
4.7486897894718965,4,640,48,2024-03-16 23:43:29
5.358441488756903,4,640,48,2024-03-16 23:43:29
5.547624905099371,4,640,48,2024-03-16 23:43:29
5.46244289204578,4,640,48,2024-03-16 23:43:29
5.5888657183783605,4,640,48,2024-03-16 23:43:29
5.3509491058796215,4,640,48,2024-03-16 23:43:30
5.852432825387169,4,640,48,2024-03-16 23:43:30
4.717132047631258,4,640,48,2024-03-16 23:43:30
4.87250845134234,4,640,48,2024-03-16 23:43:30
5.499464385223064,4,640,48,2024-03-16 23:43:30
5.127598760858988,4,640,48,2024-03-16 23:43:31
5.116159133463038,4,640,48,2024-03-16 23:43:31
5.333116328274403,4,640,48,2024-03-16 23:43:31
4.794646480465575,4,640,48,2024-03-16 23:43:31
4.5781598092025915,4,640,48,2024-03-16 23:43:31
4.670332288875972,4,640,48,2024-03-16 23:43:32
4.996204874818046,4,640,48,2024-03-16 23:43:32
5.346215666055266,4,640,48,2024-03-16 23:43:32
4.669994288189245,4,640,48,2024-03-16 23:43:32
4.694755552371721,4,640,48,2024-03-16 23:43:32
5.015214344817031,4,640,48,2024-03-16 23:43:33
5.313832954525299,4,640,48,2024-03-16 23:43:33
5.467541270817907,4,640,48,2024-03-16 23:43:33
5.174588369987095,4,640,48,2024-03-16 23:43:33
5.875239355927692,4,640,48,2024-03-16 23:43:33
5.061262907155363,4,640,48,2024-03-16 23:43:34
4.9737739598996304,4,640,48,2024-03-16 23:43:34
5.230659870876664,4,640,48,2024-03-16 23:43:34
4.983785453724498,4,640,48,2024-03-16 23:43:34
4.956124813449811,4,640,48,2024-03-16 23:43:34
4.643960078567363,4,640,48,2024-03-16 23:43:35
4.580324596329453,4,640,48,2024-03-16 23:43:35
5.284255722305653,4,640,48,2024-03-16 23:43:35
4.917610781848133,4,640,48,2024-03-16 23:43:35
5.3180236745209815,4,640,48,2024-03-16 23:43:35
5.073065474570592,4,640,48,2024-03-16 23:43:36
4.7806017833064915,4,640,48,2024-03-16 23:43:36
5.401140158056245,4,640,48,2024-03-16 23:43:36
5.0269715710244975,4,640,48,2024-03-16 23:43:36
5.359447993866598,4,640,48,2024-03-16 23:43:36
5.339702149220745,4,640,48,2024-03-16 23:43:37
4.874864306352671,4,640,48,2024-03-16 23:43:37
5.118900236277362,4,640,48,2024-03-16 23:43:37
5.603747317904773,4,640,48,2024-03-16 23:43:37
5.146877860703233,4,640,48,2024-03-16 23:43:37
5.353202818587566,4,640,48,2024-03-16 23:43:38
5.055315168944246,4,640,48,2024-03-16 23:43:38
5.053725376321024,4,640,48,2024-03-16 23:43:38
5.807901718704131,4,640,48,2024-03-16 23:43:38
5.3677678282336405,4,640,48,2024-03-16 23:43:38
5.673168560967263,4,640,48,2024-03-16 23:43:39
5.0823600119718835,4,640,48,2024-03-16 23:43:39
4.505832772025039,4,640,48,2024-03-16 23:43:39
5.0172840923907644,4,640,48,2024-03-16 23:43:39
5.785574080741117,4,640,48,2024-03-16 23:43:39
5.883546761267914,4,640,48,2024-03-16 23:43:40
5.405225961761507,4,640,48,2024-03-16 23:43:40
5.248804588178907,4,640,48,2024-03-16 23:43:40
5.251157136436308,4,640,48,2024-03-16 23:43:40
4.689207666310026,4,640,48,2024-03-16 23:43:40
5.048141626577731,4,640,48,2024-03-16 23:43:41
5.7171146611417045,4,640,48,2024-03-16 23:43:41
5.461646240149175,4,640,48,2024-03-16 23:43:41
5.4657600296073126,4,640,48,2024-03-16 23:43:41
5.526179597042377,4,640,48,2024-03-16 23:43:41
4.684379052046,4,640,48,2024-03-16 23:43:41
5.397588376851506,4,640,48,2024-03-16 23:43:42
5.2254856645939824,4,640,48,2024-03-16 23:43:42
5.735016066178984,4,640,48,2024-03-16 23:43:42
5.655528572911793,4,640,48,2024-03-16 23:43:42
5.744268473729478,4,640,48,2024-03-16 23:43:42
5.601532096295564,4,640,48,2024-03-16 23:43:43
5.680229251195822,4,640,48,2024-03-16 23:43:43
5.3134492478226445,4,640,48,2024-03-16 23:43:43
4.60549149132882,4,640,48,2024-03-16 23:43:43
5.243148711371457,4,640,48,2024-03-16 23:43:43
4.743780883518875,4,640,48,2024-03-16 23:43:44
5.2817603584385555,4,640,48,2024-03-16 23:43:44
5.351133429274217,4,640,48,2024-03-16 23:43:44
5.458476162217173,4,640,48,2024-03-16 23:43:44
5.4243095951849485,4,640,48,2024-03-16 23:43:44
5.124115805908555,4,640,48,2024-03-16 23:43:45
4.15474254151965,4,640,48,2024-03-16 23:43:45
4.892103918764769,4,640,48,2024-03-16 23:43:45
5.062949117065875,4,640,48,2024-03-16 23:43:45
5.02518279964105,4,640,48,2024-03-16 23:43:45
5.954299731976559,4,640,48,2024-03-16 23:43:46
5.0583879456522,4,640,48,2024-03-16 23:43:46
5.240737848404465,5,640,48,2024-03-16 23:43:46
5.586602715313028,4,640,48,2024-03-16 23:43:46
5.243050399137972,4,640,48,2024-03-16 23:43:46
4.865166701658375,4,640,48,2024-03-16 23:43:47
5.2885332633962685,4,640,48,2024-03-16 23:43:47
4.9991287319414495,4,640,48,2024-03-16 23:43:47
5.434690611779493,4,640,48,2024-03-16 23:43:47
4.815304993134612,5,640,48,2024-03-16 23:43:47
4.824249701813046,4,640,48,2024-03-16 23:43:48
4.476478843926935,4,640,48,2024-03-16 23:43:48
5.14970256913963,4,640,48,2024-03-16 23:43:48
5.6328870146788255,4,640,48,2024-03-16 23:43:48
5.33376061365593,4,640,48,2024-03-16 23:43:48
5.732217950627779,4,640,48,2024-03-16 23:43:49
6.117320358670097,4,640,48,2024-03-16 23:43:49
5.394270192965579,4,640,48,2024-03-16 23:43:49
5.274845564118558,4,640,48,2024-03-16 23:43:49
4.7138663489851425,4,640,48,2024-03-16 23:43:49
4.733512623478282,4,640,48,2024-03-16 23:43:50
4.917218748791008,4,640,48,2024-03-16 23:43:50
4.699900495728488,5,640,48,2024-03-16 23:43:50
5.145116357806234,4,640,48,2024-03-16 23:43:50
4.8103071194037215,5,640,48,2024-03-16 23:43:50
5.0849293810995935,4,640,48,2024-03-16 23:43:51
5.212309803005374,4,640,48,2024-03-16 23:43:51
5.1550318140980025,4,640,48,2024-03-16 23:43:51
5.076288889373002,4,640,48,2024-03-16 23:43:51
5.006802980944729,5,640,48,2024-03-16 23:43:51
4.434690852342054,4,640,48,2024-03-16 23:43:52
5.179316834152859,4,640,48,2024-03-16 23:43:52
5.2518606817658195,4,640,48,2024-03-16 23:43:52
4.966929797760899,4,640,48,2024-03-16 23:43:52
4.938077185711931,4,640,48,2024-03-16 23:43:52
4.996365568316238,4,640,48,2024-03-16 23:43:53
4.865561766927018,4,640,48,2024-03-16 23:43:53
5.115672410912156,4,640,48,2024-03-16 23:43:53
4.725459865231631,4,640,48,2024-03-16 23:43:53
4.284838349486296,4,640,48,2024-03-16 23:43:53
4.926968912069259,4,640,48,2024-03-16 23:43:54
5.186842648733743,4,640,48,2024-03-16 23:43:54
4.9677887006988035,4,640,48,2024-03-16 23:43:54
3.8848486139579514,6,640,48,2024-03-16 23:43:54
4.775925795189805,5,640,48,2024-03-16 23:43:55
4.760509476064113,5,640,48,2024-03-16 23:43:55
4.750884354820258,4,640,48,2024-03-16 23:43:55
4.949860625615147,4,640,48,2024-03-16 23:43:55
